architecture,lr,normalization,accuracy,loss,classification_accuracy
"8;8", 0.01, min_max,0.9031440019607544, 0.25927847623825073, 0.9031440162271805
"8;8", 0.01, zero_one,0.9036511182785034, 0.251311331987381, 0.9036511156186613
"8;8", 0.005, min_max,0.9026369452476501, 0.25663629174232483, 0.9026369168356998
"8;8", 0.005, zero_one,0.8975659012794495, 0.2570585012435913, 0.8975659229208925
"8;8", 0.002, min_max,0.8990872502326965, 0.256403386592865, 0.8990872210953347
"8;8", 0.002, zero_one,0.9006085395812988, 0.2564437687397003, 0.9006085192697769
"8;8", 0.001, min_max,0.8965517282485962, 0.27167001366615295, 0.896551724137931
"8;8", 0.001, zero_one,0.8985801339149475, 0.2521090507507324, 0.8985801217038539
"8;8", 0.0005, min_max,0.8914807438850403, 0.2720673084259033, 0.8914807302231237
"8;8", 0.0005, zero_one,0.8985801339149475, 0.2822021543979645, 0.8985801217038539
"8;8", 0.0002, min_max,0.8772819638252258, 0.31031233072280884, 0.8772819472616633
"8;8", 0.0002, zero_one,0.8539553880691528, 0.4377521276473999, 0.8539553752535497
"8;8", 0.0001, min_max,0.8255578279495239, 0.41797491908073425, 0.8255578093306288
"8;8", 0.0001, zero_one,0.7723124027252197, 0.4947879910469055, 0.7723123732251521
"12;8", 0.01, min_max,0.9036511182785034, 0.2536856234073639, 0.9036511156186613
"12;8", 0.01, zero_one,0.8615618944168091, 0.3722189962863922, 0.8615618661257607
"12;8", 0.005, min_max,0.9031440019607544, 0.2602115571498871, 0.9031440162271805
"12;8", 0.005, zero_one,0.9046652913093567, 0.23668676614761353, 0.9046653144016227
"12;8", 0.002, min_max,0.9016227126121521, 0.26237884163856506, 0.9016227180527383
"12;8", 0.002, zero_one,0.9021298289299011, 0.2532469928264618, 0.902129817444219
"12;8", 0.001, min_max,0.8975659012794495, 0.2608867585659027, 0.8975659229208925
"12;8", 0.001, zero_one,0.8990872502326965, 0.25724196434020996, 0.8990872210953347
"12;8", 0.0005, min_max,0.9021298289299011, 0.2595304250717163, 0.902129817444219
"12;8", 0.0005, zero_one,0.9006085395812988, 0.2677095830440521, 0.9006085192697769
