architecture,lr,normalization,accuracy,loss,classification_accuracy
"32;24;16", 0.001, min_max,0.9031440019607544, 0.24654582142829895, 0.9031440162271805
"32;24;16", 0.001, zero_one,0.9051724076271057, 0.2599979639053345, 0.9051724137931034
"32;24;16", 0.0005, min_max,0.9006085395812988, 0.25015726685523987, 0.9006085192697769
"32;24;16", 0.0005, zero_one,0.8960446119308472, 0.2515353560447693, 0.8960446247464503
"32;24;16", 0.0002, min_max,0.9036511182785034, 0.2614785432815552, 0.9036511156186613
"32;24;16", 0.0002, zero_one,0.9036511182785034, 0.2442597895860672, 0.9036511156186613
"32;24;16", 0.0001, min_max,0.8940162062644958, 0.27486610412597656, 0.8940162271805274
"32;24;16", 0.0001, zero_one,0.8935091495513916, 0.26969945430755615, 0.8935091277890467
"32;24;12", 0.001, min_max,0.9001014232635498, 0.2539220452308655, 0.9001014198782962
"32;24;12", 0.001, zero_one,0.9026369452476501, 0.2705637812614441, 0.9026369168356998
"32;24;12", 0.0005, min_max,0.9006085395812988, 0.2523069381713867, 0.9006085192697769
"32;24;12", 0.0005, zero_one,0.9122717976570129, 0.26567819714546204, 0.9122718052738337
"32;24;12", 0.0002, min_max,0.9016227126121521, 0.26667216420173645, 0.9016227180527383
"32;24;12", 0.0002, zero_one,0.9011155962944031, 0.25978708267211914, 0.9011156186612576
"32;24;12", 0.0001, min_max,0.8990872502326965, 0.2755589485168457, 0.8990872210953347
"32;24;12", 0.0001, zero_one,0.8995943069458008, 0.25404131412506104, 0.8995943204868154
"32;20;12", 0.001, min_max,0.9006085395812988, 0.2503182888031006, 0.9006085192697769
"32;20;12", 0.001, zero_one,0.8990872502326965, 0.2684198319911957, 0.8990872210953347
"32;20;12", 0.0005, min_max,0.9051724076271057, 0.24576421082019806, 0.9051724137931034
"32;20;12", 0.0005, zero_one,0.9041582345962524, 0.2771519720554352, 0.904158215010142
"32;20;12", 0.0002, min_max,0.9061866402626038, 0.24854187667369843, 0.9061866125760649
"32;20;12", 0.0002, zero_one,0.9046652913093567, 0.24685195088386536, 0.9046653144016227
"32;20;12", 0.0001, min_max,0.8990872502326965, 0.257479727268219, 0.8990872210953347
"32;20;12", 0.0001, zero_one,0.8884381055831909, 0.2688957452774048, 0.8884381338742393
"24;16;12", 0.001, min_max,0.9051724076271057, 0.24620184302330017, 0.9051724137931034
"24;16;12", 0.001, zero_one,0.906693696975708, 0.238191619515419, 0.9066937119675457
"24;16;12", 0.0005, min_max,0.9006085395812988, 0.2580330967903137, 0.9006085192697769
"24;16;12", 0.0005, zero_one,0.9041582345962524, 0.2516343295574188, 0.904158215010142
"24;16;12", 0.0002, min_max,0.9026369452476501, 0.25842007994651794, 0.9026369168356998
"24;16;12", 0.0002, zero_one,0.9006085395812988, 0.2594369053840637, 0.9006085192697769
"24;16;12", 0.0001, min_max,0.8909736275672913, 0.2789005935192108, 0.890973630831643
"24;16;12", 0.0001, zero_one,0.8945233225822449, 0.256451815366745, 0.8945233265720081
"20;16;12", 0.001, min_max,0.9026369452476501, 0.2506098449230194, 0.9026369168356998
"20;16;12", 0.001, zero_one,0.906693696975708, 0.24387232959270477, 0.9066937119675457
