architecture,lr,normalization,accuracy,loss,classification_accuracy
"32;32;24;16", 0.0002, min_max,0.9041582345962524, 0.25803491473197937, 0.904158215010142
"32;32;24;16", 0.0002, zero_one,0.9011155962944031, 0.28421348333358765, 0.9011156186612576
"32;32;24;16", 0.0001, min_max,0.9021298289299011, 0.2516496181488037, 0.902129817444219
"32;32;24;16", 0.0001, zero_one,0.9026369452476501, 0.275186687707901, 0.9026369168356998
"32;24;24;16", 0.0002, min_max,0.9011155962944031, 0.25242623686790466, 0.9011156186612576
"32;24;24;16", 0.0002, zero_one,0.8975659012794495, 0.26006704568862915, 0.8975659229208925
"32;24;24;16", 0.0001, min_max,0.9026369452476501, 0.24205689132213593, 0.9026369168356998
"32;24;24;16", 0.0001, zero_one,0.9082149863243103, 0.2376355081796646, 0.9082150101419878
"32;24;16;12", 0.0002, min_max,0.8990872502326965, 0.24628029763698578, 0.8990872210953347
"32;24;16;12", 0.0002, zero_one,0.9036511182785034, 0.41495615243911743, 0.9036511156186613
"32;24;16;12", 0.0001, min_max,0.9016227126121521, 0.249176025390625, 0.9016227180527383
"32;24;16;12", 0.0001, zero_one,0.9001014232635498, 0.341586172580719, 0.9001014198782962
