architecture,lr,normalization,accuracy,loss,classification_accuracy
"8;8", 0.01, min_max,0.6569022536277771, 0.787650465965271, 0.6569022336140607
"8;8", 0.01, zero_one,0.6415232419967651, 0.8387778997421265, 0.6415232515562065
"8;8", 0.005, min_max,0.6569022536277771, 0.7977741360664368, 0.6569022336140607
"8;8", 0.005, zero_one,0.6085683107376099, 0.8892393708229065, 0.6085682900036616
"8;8", 0.002, min_max,0.6528744101524353, 0.8236941695213318, 0.6528744049798608
"8;8", 0.002, zero_one,0.6265104413032532, 0.8242267966270447, 0.6265104357378249
"8;8", 0.001, min_max,0.6404247283935547, 0.8265276551246643, 0.6404247528377883
"8;8", 0.001, zero_one,0.6382277607917786, 0.8440024256706238, 0.638227755400952
"8;8", 0.0005, min_max,0.6404247283935547, 0.8224532604217529, 0.6404247528377883
"8;8", 0.0005, zero_one,0.6034419536590576, 0.876591682434082, 0.6034419626510436
"8;8", 0.0002, min_max,0.6173563003540039, 0.8597406148910522, 0.6173562797510069
"8;8", 0.0002, zero_one,0.6049066185951233, 0.8857429027557373, 0.6049066276089344
"8;8", 0.0001, min_max,0.5800073146820068, 0.9074737429618835, 0.5800073233247894
"8;8", 0.0001, zero_one,0.5946539640426636, 0.8959170579910278, 0.5946539729036983
"12;8", 0.01, min_max,0.6653240323066711, 0.7993119359016418, 0.6653240571219333
"12;8", 0.01, zero_one,0.654339075088501, 0.8081221580505371, 0.6543390699377517
"12;8", 0.005, min_max,0.6638593673706055, 0.7988265156745911, 0.6638593921640424
"12;8", 0.005, zero_one,0.6528744101524353, 0.798037588596344, 0.6528744049798608
"12;8", 0.002, min_max,0.6634932160377502, 0.7954636216163635, 0.6634932259245697
"12;8", 0.002, zero_one,0.6470157504081726, 0.8044309616088867, 0.6470157451482973
"12;8", 0.001, min_max,0.6590992212295532, 0.8037882447242737, 0.6590992310508971
"12;8", 0.001, zero_one,0.634932279586792, 0.8369901180267334, 0.6349322592456975
"12;8", 0.0005, min_max,0.6503112316131592, 0.8151154518127441, 0.6503112413035518
"12;8", 0.0005, zero_one,0.6191871166229248, 0.8480440378189087, 0.6191871109483705
"12;8", 0.0002, min_max,0.643354058265686, 0.8472713232040405, 0.6433540827535701
"12;8", 0.0002, zero_one,0.623947262763977, 0.8658177852630615, 0.6239472720615159
"12;8", 0.0001, min_max,0.6067374348640442, 0.8771687746047974, 0.606737458806298
"12;8", 0.0001, zero_one,0.5752471685409546, 0.9084224104881287, 0.5752471622116441
"16;8", 0.01, min_max,0.6792383790016174, 0.7606311440467834, 0.6792383742218967
"16;8", 0.01, zero_one,0.6536067128181458, 0.8114582896232605, 0.6536067374588063
"16;8", 0.005, min_max,0.6832662224769592, 0.7666411399841309, 0.6832662028560966
"16;8", 0.005, zero_one,0.6741120219230652, 0.7693293690681458, 0.6741120468692786
"16;8", 0.002, min_max,0.6572684049606323, 0.7953883409500122, 0.6572683998535335
"16;8", 0.002, zero_one,0.6623947024345398, 0.7659662961959839, 0.6623947272061516
"16;8", 0.001, min_max,0.6678872108459473, 0.7928586006164551, 0.6678872207982424
"16;8", 0.001, zero_one,0.6525082588195801, 0.8231827616691589, 0.6525082387403881
"16;8", 0.0005, min_max,0.6451849341392517, 0.8145981431007385, 0.6451849139509337
"16;8", 0.0005, zero_one,0.6074697971343994, 0.8816645741462708, 0.6074697912852435
"16;8", 0.0002, min_max,0.6352984309196472, 0.8530731797218323, 0.6352984254851702
"16;8", 0.0002, zero_one,0.6232149600982666, 0.855336606502533, 0.6232149395825705
"16;8", 0.0001, min_max,0.6217502951622009, 0.8661146759986877, 0.6217502746246796
"16;8", 0.0001, zero_one,0.6012449860572815, 0.8819009065628052, 0.6012449652142072
"10;8;6", 0.01, min_max,0.6627609133720398, 0.7799241542816162, 0.6627608934456243
"10;8;6", 0.01, zero_one,0.6371292471885681, 0.8418685793876648, 0.6371292566825338
"10;8;6", 0.005, min_max,0.6572684049606323, 0.8087103366851807, 0.6572683998535335
"10;8;6", 0.005, zero_one,0.6495789289474487, 0.8081400394439697, 0.6495789088246063
"10;8;6", 0.002, min_max,0.6642255783081055, 0.7904733419418335, 0.6642255584035152
"10;8;6", 0.002, zero_one,0.654339075088501, 0.8231205940246582, 0.6543390699377517
"10;8;6", 0.001, min_max,0.6686195731163025, 0.7972443103790283, 0.6686195532771878
"10;8;6", 0.001, zero_one,0.6656902432441711, 0.813761293888092, 0.665690223361406
"10;8;6", 0.0005, min_max,0.6601977348327637, 0.8003355860710144, 0.6601977297693152
"10;8;6", 0.0005, zero_one,0.6316367387771606, 0.8345525860786438, 0.631636763090443
"10;8;6", 0.0002, min_max,0.6309044361114502, 0.8453999757766724, 0.6309044306114976
"10;8;6", 0.0002, zero_one,0.6096667647361755, 0.8809031844139099, 0.6096667887220798
"10;8;6", 0.0001, min_max,0.6323691010475159, 0.862752377986908, 0.6323690955693885
"10;8;6", 0.0001, zero_one,0.552178680896759, 0.9274224638938904, 0.5521786891248627
"12;8;6", 0.01, min_max,0.6748443841934204, 0.7756707668304443, 0.674844379348224
"12;8;6", 0.01, zero_one,0.6488465666770935, 0.8134927153587341, 0.6488465763456609
"12;8;6", 0.005, min_max,0.678139865398407, 0.7763308882713318, 0.6781398755034785
"12;8;6", 0.005, zero_one,0.6598315834999084, 0.8076421022415161, 0.6598315635298425
"12;8;6", 0.002, min_max,0.6788722276687622, 0.7778291702270508, 0.678872207982424
"12;8;6", 0.002, zero_one,0.6492127180099487, 0.7962056994438171, 0.6492127425851336
"12;8;6", 0.001, min_max,0.6711826920509338, 0.7909508943557739, 0.6711827169534968
"12;8;6", 0.001, zero_one,0.6415232419967651, 0.8192777633666992, 0.6415232515562065
