architecture,lr,normalization,accuracy,loss,classification_accuracy
"32;24;16", 0.001, min_max,0.691321849822998, 0.7419209480285645, 0.6913218601244965
"32;24;16", 0.001, zero_one,0.682533860206604, 0.7768504619598389, 0.6825338703771512
"32;24;16", 0.0005, min_max,0.6843646764755249, 0.7578999996185303, 0.6843647015745148
"32;24;16", 0.0005, zero_one,0.6792383790016174, 0.7680603265762329, 0.6792383742218967
"32;24;16", 0.0002, min_max,0.6700842380523682, 0.7939120531082153, 0.6700842182350787
"32;24;16", 0.0002, zero_one,0.6656902432441711, 0.7860686182975769, 0.665690223361406
"32;24;16", 0.0001, min_max,0.6477480530738831, 0.8199467658996582, 0.6477480776272427
"32;24;16", 0.0001, zero_one,0.6539729237556458, 0.8114892244338989, 0.653972903698279
"32;24;12", 0.001, min_max,0.6829000115394592, 0.757466733455658, 0.6829000366166239
"32;24;12", 0.001, zero_one,0.6744782328605652, 0.7708678245544434, 0.6744782131087513
"32;24;12", 0.0005, min_max,0.6821677088737488, 0.7584630250930786, 0.6821677041376785
"32;24;12", 0.0005, zero_one,0.6759428977966309, 0.772224485874176, 0.6759428780666422
"32;24;12", 0.0002, min_max,0.6818015575408936, 0.7675356864929199, 0.6818015378982057
"32;24;12", 0.0002, zero_one,0.6616623997688293, 0.7940229177474976, 0.6616623947272061
"32;24;12", 0.0001, min_max,0.6612962484359741, 0.8164013624191284, 0.6612962284877334
"32;24;12", 0.0001, zero_one,0.6473819017410278, 0.8204702734947205, 0.64738191138777
"32;20;12", 0.001, min_max,0.6905895471572876, 0.7349900603294373, 0.690589527645551
"32;20;12", 0.001, zero_one,0.6807030439376831, 0.7604204416275024, 0.6807030391797876
"32;20;12", 0.0005, min_max,0.6807030439376831, 0.7608190774917603, 0.6807030391797876
"32;20;12", 0.0005, zero_one,0.6763090491294861, 0.7674209475517273, 0.6763090443061149
"32;20;12", 0.0002, min_max,0.6715489029884338, 0.791485607624054, 0.6715488831929696
"32;20;12", 0.0002, zero_one,0.6700842380523682, 0.7878620028495789, 0.6700842182350787
"32;20;12", 0.0001, min_max,0.6506773829460144, 0.81607985496521, 0.6506774075430245
"32;20;12", 0.0001, zero_one,0.6451849341392517, 0.8295343518257141, 0.6451849139509337
"24;16;12", 0.001, min_max,0.6763090491294861, 0.7682313323020935, 0.6763090443061149
"24;16;12", 0.001, zero_one,0.6810691952705383, 0.7566999793052673, 0.6810692054192603
"24;16;12", 0.0005, min_max,0.6785060167312622, 0.7656635046005249, 0.6785060417429513
"24;16;12", 0.0005, zero_one,0.6722812056541443, 0.7905352711677551, 0.672281215671915
"24;16;12", 0.0002, min_max,0.6594653725624084, 0.7922055125236511, 0.6594653972903698
"24;16;12", 0.0002, zero_one,0.6627609133720398, 0.801452100276947, 0.6627608934456243
"24;16;12", 0.0001, min_max,0.6444525718688965, 0.8177684545516968, 0.6444525814719883
"24;16;12", 0.0001, zero_one,0.6246796250343323, 0.8422581553459167, 0.6246796045404613
"20;16;12", 0.001, min_max,0.6715489029884338, 0.7582868337631226, 0.6715488831929696
"20;16;12", 0.001, zero_one,0.6638593673706055, 0.7932050228118896, 0.6638593921640424
"20;16;12", 0.0005, min_max,0.6785060167312622, 0.7741350531578064, 0.6785060417429513
"20;16;12", 0.0005, zero_one,0.6660563945770264, 0.7803203463554382, 0.6660563896008788
"20;16;12", 0.0002, min_max,0.6667886972427368, 0.797213613986969, 0.6667887220798242
"20;16;12", 0.0002, zero_one,0.6664225459098816, 0.7967398166656494, 0.6664225558403515
"20;16;12", 0.0001, min_max,0.6495789289474487, 0.8302237391471863, 0.6495789088246063
"20;16;12", 0.0001, zero_one,0.6422556042671204, 0.8338871002197266, 0.6422555840351519
"20;20;12", 0.001, min_max,0.6814353466033936, 0.7563671469688416, 0.681435371658733
"20;20;12", 0.001, zero_one,0.6818015575408936, 0.754850447177887, 0.6818015378982057
"20;20;12", 0.0005, min_max,0.6891248822212219, 0.7460759282112122, 0.6891248626876602
"20;20;12", 0.0005, zero_one,0.6664225459098816, 0.7842163443565369, 0.6664225558403515
"20;20;12", 0.0002, min_max,0.6744782328605652, 0.7892684936523438, 0.6744782131087513
"20;20;12", 0.0002, zero_one,0.6561698913574219, 0.8027055263519287, 0.6561699011351153
"20;20;12", 0.0001, min_max,0.658733069896698, 0.8234431743621826, 0.6587330648114244
"20;20;12", 0.0001, zero_one,0.6385939121246338, 0.8436854481697083, 0.6385939216404247
"16;16;16", 0.001, min_max,0.6799706816673279, 0.7668267488479614, 0.6799707067008421
"16;16;16", 0.001, zero_one,0.6667886972427368, 0.7811954617500305, 0.6667887220798242
"16;16;16", 0.0005, min_max,0.6770413517951965, 0.7801475524902344, 0.6770413767850604
"16;16;16", 0.0005, zero_one,0.6693518757820129, 0.789203405380249, 0.6693518857561332
"16;16;16", 0.0002, min_max,0.6700842380523682, 0.8079779744148254, 0.6700842182350787
"16;16;16", 0.0002, zero_one,0.6481142640113831, 0.8193663954734802, 0.6481142438667155
"16;16;16", 0.0001, min_max,0.649945080280304, 0.8225034475326538, 0.6499450750640791
"16;16;16", 0.0001, zero_one,0.6294397711753845, 0.8412182927131653, 0.6294397656536067
"16;16;12", 0.001, min_max,0.678139865398407, 0.7703688740730286, 0.6781398755034785
"16;16;12", 0.001, zero_one,0.6704503893852234, 0.7815070748329163, 0.6704503844745514
"16;16;12", 0.0005, min_max,0.6785060167312622, 0.7730960845947266, 0.6785060417429513
"16;16;12", 0.0005, zero_one,0.6558037400245667, 0.8023337721824646, 0.6558037348956426
"16;16;12", 0.0002, min_max,0.663127064704895, 0.8014326691627502, 0.663127059685097
"16;16;12", 0.0002, zero_one,0.6470157504081726, 0.8200011253356934, 0.6470157451482973
"16;16;12", 0.0001, min_max,0.6327352523803711, 0.8472266793251038, 0.6327352618088612
"16;16;12", 0.0001, zero_one,0.61955326795578, 0.8656684756278992, 0.6195532771878433
"16;16;8", 0.001, min_max,0.6752105355262756, 0.769608736038208, 0.6752105455876968
"16;16;8", 0.001, zero_one,0.6730135679244995, 0.7637200355529785, 0.6730135481508605
"16;16;8", 0.0005, min_max,0.6689857244491577, 0.7817397713661194, 0.6689857195166605
"16;16;8", 0.0005, zero_one,0.6616623997688293, 0.7910441160202026, 0.6616623947272061
"16;16;8", 0.0002, min_max,0.6510435938835144, 0.8187485933303833, 0.6510435737824972
"16;16;8", 0.0002, zero_one,0.6371292471885681, 0.8213695883750916, 0.6371292566825338
"16;16;8", 0.0001, min_max,0.6448187232017517, 0.8316213488578796, 0.644818747711461
"16;16;8", 0.0001, zero_one,0.6217502951622009, 0.8605722188949585, 0.6217502746246796
