architecture,lr,normalization,accuracy,loss,classification_accuracy
"32;32;24;16", 0.0002, min_max,0.6924203634262085, 0.7941480875015259, 0.6924203588429146
"32;32;24;16", 0.0002, zero_one,0.6898571848869324, 0.7785305976867676, 0.6898571951666056
"32;32;24;16", 0.0001, min_max,0.6997436881065369, 0.7398891448974609, 0.699743683632369
"32;32;24;16", 0.0001, zero_one,0.6953496932983398, 0.7341506481170654, 0.6953496887586964
"32;24;24;16", 0.0002, min_max,0.6971805095672607, 0.7468017339706421, 0.69718051995606
"32;24;24;16", 0.0002, zero_one,0.691321849822998, 0.768252432346344, 0.6913218601244965
"32;24;24;16", 0.0001, min_max,0.6854631900787354, 0.7413974404335022, 0.685463200292933
"32;24;24;16", 0.0001, zero_one,0.6836323738098145, 0.7630258798599243, 0.6836323690955693
"32;24;16;12", 0.0002, min_max,0.6949835419654846, 0.7546833753585815, 0.6949835225192237
"32;24;16;12", 0.0002, zero_one,0.6920542120933533, 0.757140040397644, 0.6920541926034419
"32;24;16;12", 0.0001, min_max,0.6854631900787354, 0.7616770267486572, 0.685463200292933
"32;24;16;12", 0.0001, zero_one,0.6847308874130249, 0.7575486898422241, 0.6847308678139875
