architecture,lr,normalization,accuracy,loss,classification_accuracy
"8;8;3", 0.01, min_max,0.752730131149292, 0.6954951882362366, 0.12558502340093602
"8;8;3", 0.01, zero_one,0.7511700391769409, 0.6715260148048401, 0.12714508580343215
"8;8;3", 0.005, min_max,0.7511700391769409, 0.714500904083252, 0.12714508580343215
"8;8;3", 0.005, zero_one,0.7581903338432312, 0.6695191264152527, 0.11934477379095164
"8;8;3", 0.002, min_max,0.7511700391769409, 0.7338775992393494, 0.12714508580343215
"8;8;3", 0.002, zero_one,0.7511700391769409, 0.740095853805542, 0.12714508580343215
"8;8;3", 0.001, min_max,0.7511700391769409, 0.7397297024726868, 0.12714508580343215
"8;8;3", 0.001, zero_one,0.7511700391769409, 0.95111083984375, 0.12714508580343215
"8;8;3", 0.0005, min_max,0.7511700391769409, 0.9119528532028198, 0.12714508580343215
"8;8;3", 0.0005, zero_one,0.7511700391769409, 0.9728294610977173, 0.12714508580343215
"8;8;3", 0.0002, min_max,0.7511700391769409, 0.7925931215286255, 0.12714508580343215
"8;8;3", 0.0002, zero_one,0.5070202946662903, 1.0816973447799683, 0.0405616224648986
"8;8;3", 0.0001, min_max,0.3751949965953827, 1.084868311882019, 0.48985959438377535
"8;8;3", 0.0001, zero_one,0.6279250979423523, 0.9875332117080688, 0.07020280811232449
"12;8;3", 0.01, min_max,0.7511700391769409, 0.6957656741142273, 0.12714508580343215
"12;8;3", 0.01, zero_one,0.7503899931907654, 0.6667673587799072, 0.12714508580343215
"12;8;3", 0.005, min_max,0.7511700391769409, 0.7050954699516296, 0.12714508580343215
"12;8;3", 0.005, zero_one,0.7511700391769409, 0.6517610549926758, 0.12714508580343215
"12;8;3", 0.002, min_max,0.7511700391769409, 0.7254496216773987, 0.12714508580343215
"12;8;3", 0.002, zero_one,0.7511700391769409, 0.7205932140350342, 0.12714508580343215
"12;8;3", 0.001, min_max,0.7511700391769409, 0.7418396472930908, 0.12714508580343215
"12;8;3", 0.001, zero_one,0.7511700391769409, 0.7724833488464355, 0.12714508580343215
"12;8;3", 0.0005, min_max,0.7511700391769409, 0.8180014491081238, 0.12714508580343215
"12;8;3", 0.0005, zero_one,0.7410296201705933, 1.052416205406189, 0.10764430577223089
"12;8;3", 0.0002, min_max,0.14742588996887207, 1.1356775760650635, 0.1419656786271451
"12;8;3", 0.0002, zero_one,0.21762870252132416, 1.131909966468811, 0.30109204368174725
"12;8;3", 0.0001, min_max,0.1279251128435135, 1.336114764213562, 0.20202808112324494
"12;8;3", 0.0001, zero_one,0.2527301013469696, 1.0680586099624634, 0.0452418096723869
"16;8;3", 0.01, min_max,0.7511700391769409, 0.6869680881500244, 0.12714508580343215
"16;8;3", 0.01, zero_one,0.7503899931907654, 0.6667543649673462, 0.12246489859594384
"16;8;3", 0.005, min_max,0.7535101175308228, 0.7069035172462463, 0.12402496099843993
"16;8;3", 0.005, zero_one,0.7519500851631165, 0.6396870613098145, 0.12870514820592824
"16;8;3", 0.002, min_max,0.7511700391769409, 0.727101743221283, 0.12714508580343215
"16;8;3", 0.002, zero_one,0.7511700391769409, 0.6921306252479553, 0.12714508580343215
"16;8;3", 0.001, min_max,0.7511700391769409, 0.7531586289405823, 0.12714508580343215
"16;8;3", 0.001, zero_one,0.7511700391769409, 0.7626003623008728, 0.12714508580343215
"16;8;3", 0.0005, min_max,0.7511700391769409, 0.7604148983955383, 0.12714508580343215
"16;8;3", 0.0005, zero_one,0.7480499148368835, 1.0056426525115967, 0.12870514820592824
"16;8;3", 0.0002, min_max,0.7511700391769409, 0.9556878805160522, 0.12714508580343215
"16;8;3", 0.0002, zero_one,0.6630265116691589, 0.9991794228553772, 0.20202808112324494
"16;8;3", 0.0001, min_max,0.1209048330783844, 1.2243640422821045, 0.19734789391575663
"16;8;3", 0.0001, zero_one,0.1333853304386139, 1.2962223291397095, 0.7394695787831513
"10;8;6;3", 0.01, min_max,0.7511700391769409, 0.7237465977668762, 0.12714508580343215
"10;8;6;3", 0.01, zero_one,0.7511700391769409, 0.6668438911437988, 0.12714508580343215
"10;8;6;3", 0.005, min_max,0.7558502554893494, 0.7036052346229553, 0.11622464898595944
"10;8;6;3", 0.005, zero_one,0.7511700391769409, 0.6828381419181824, 0.12714508580343215
"10;8;6;3", 0.002, min_max,0.7511700391769409, 0.7284693121910095, 0.12714508580343215
"10;8;6;3", 0.002, zero_one,0.7511700391769409, 0.7064169645309448, 0.12714508580343215
"10;8;6;3", 0.001, min_max,0.7511700391769409, 0.7670034766197205, 0.12714508580343215
"10;8;6;3", 0.001, zero_one,0.7511700391769409, 0.7199551463127136, 0.12714508580343215
"10;8;6;3", 0.0005, min_max,0.7511700391769409, 0.7729383111000061, 0.12714508580343215
"10;8;6;3", 0.0005, zero_one,0.7301092147827148, 0.96517014503479, 0.1544461778471139
"10;8;6;3", 0.0002, min_max,0.7511700391769409, 0.8677610158920288, 0.12714508580343215
"10;8;6;3", 0.0002, zero_one,0.5452418327331543, 1.1071690320968628, 0.33151326053042124
"10;8;6;3", 0.0001, min_max,0.7488299608230591, 0.9719684720039368, 0.12714508580343215
"10;8;6;3", 0.0001, zero_one,0.7464898824691772, 1.0367718935012817, 0.13338533541341654
"12;8;6;3", 0.01, min_max,0.7511700391769409, 0.6863099932670593, 0.12714508580343215
"12;8;6;3", 0.01, zero_one,0.7511700391769409, 0.6777240633964539, 0.12714508580343215
"12;8;6;3", 0.005, min_max,0.7511700391769409, 0.7205418348312378, 0.12714508580343215
"12;8;6;3", 0.005, zero_one,0.7511700391769409, 0.6620033383369446, 0.12714508580343215
"12;8;6;3", 0.002, min_max,0.7511700391769409, 0.731608510017395, 0.12714508580343215
"12;8;6;3", 0.002, zero_one,0.7511700391769409, 0.8687501549720764, 0.12714508580343215
"12;8;6;3", 0.001, min_max,0.7511700391769409, 0.7505280375480652, 0.12714508580343215
"12;8;6;3", 0.001, zero_one,0.7511700391769409, 0.7105706334114075, 0.12714508580343215
"12;8;6;3", 0.0005, min_max,0.7511700391769409, 0.7825225591659546, 0.12714508580343215
"12;8;6;3", 0.0005, zero_one,0.7511700391769409, 0.8051955103874207, 0.12714508580343215
"12;8;6;3", 0.0002, min_max,0.5920436978340149, 1.032024621963501, 0.12246489859594384
"12;8;6;3", 0.0002, zero_one,0.7371295094490051, 0.9743317365646362, 0.12402496099843993
"12;8;6;3", 0.0001, min_max,0.11934477090835571, 1.1420512199401855, 0.6825273010920437
"12;8;6;3", 0.0001, zero_one,0.3517940640449524, 1.1213465929031372, 0.15834633385335414
"16;8;6;3", 0.01, min_max,0.7511700391769409, 0.6985171437263489, 0.12714508580343215
"16;8;6;3", 0.01, zero_one,0.7511700391769409, 0.6780694127082825, 0.12714508580343215
"16;8;6;3", 0.005, min_max,0.7511700391769409, 0.6918163895606995, 0.12714508580343215
"16;8;6;3", 0.005, zero_one,0.7496100068092346, 0.6462525129318237, 0.12870514820592824
"16;8;6;3", 0.002, min_max,0.7511700391769409, 0.7270804047584534, 0.12714508580343215
"16;8;6;3", 0.002, zero_one,0.7511700391769409, 0.9288166165351868, 0.12714508580343215
"16;8;6;3", 0.001, min_max,0.7511700391769409, 0.7745153307914734, 0.12714508580343215
"16;8;6;3", 0.001, zero_one,0.7511700391769409, 0.9045880436897278, 0.12714508580343215
"16;8;6;3", 0.0005, min_max,0.7511700391769409, 0.7624470591545105, 0.12714508580343215
"16;8;6;3", 0.0005, zero_one,0.7480499148368835, 0.8756850957870483, 0.13650546021840873
"16;8;6;3", 0.0002, min_max,0.7503899931907654, 0.8796705007553101, 0.12714508580343215
"16;8;6;3", 0.0002, zero_one,0.7519500851631165, 0.9823388457298279, 0.12558502340093602
"16;8;6;3", 0.0001, min_max,0.6388455629348755, 1.0058284997940063, 0.11544461778471139
"16;8;6;3", 0.0001, zero_one,0.7511700391769409, 1.0167841911315918, 0.12714508580343215
