architecture,lr,normalization,accuracy,loss,classification_accuracy
"8;8;3", 0.01, min_max,0.9371134042739868, 0.18273819983005524, 0.0
"8;8;3", 0.01, zero_one,0.9525772929191589, 0.13549813628196716, 0.0
"8;8;3", 0.005, min_max,0.9474226832389832, 0.183701753616333, 0.0
"8;8;3", 0.005, zero_one,0.9587628841400146, 0.16258874535560608, 0.0
"8;8;3", 0.002, min_max,0.9432989954948425, 0.18981589376926422, 0.0
"8;8;3", 0.002, zero_one,0.9453608393669128, 0.15149515867233276, 0.0
"8;8;3", 0.001, min_max,0.7769110798835754, 0.5583333969116211, 0.10842433697347893
"8;8;3", 0.001, zero_one,0.7948517799377441, 0.548107922077179, 0.0967238689547582
"8;8;3", 0.0005, min_max,0.7745710015296936, 0.5805203914642334, 0.0998439937597504
"8;8;3", 0.0005, zero_one,0.7714508771896362, 0.5943138599395752, 0.11076443057722309
"8;8;3", 0.0002, min_max,0.7706708312034607, 0.5818604230880737, 0.12012480499219969
"8;8;3", 0.0002, zero_one,0.7613104581832886, 0.5866861343383789, 0.1310452418096724
"8;8;3", 0.0001, min_max,0.7464898824691772, 0.6137633919715881, 0.13494539781591264
"8;8;3", 0.0001, zero_one,0.7691107392311096, 0.6117255091667175, 0.11310452418096724
"12;8;3", 0.01, min_max,0.7862714529037476, 0.5652157068252563, 0.11856474258970359
"12;8;3", 0.01, zero_one,0.7831513285636902, 0.579715371131897, 0.1310452418096724
"12;8;3", 0.005, min_max,0.7823712825775146, 0.5575396418571472, 0.078003120124805
"12;8;3", 0.005, zero_one,0.7823712825775146, 0.5730438232421875, 0.10920436817472699
"12;8;3", 0.002, min_max,0.7815912365913391, 0.5643116235733032, 0.10530421216848673
"12;8;3", 0.002, zero_one,0.7566302418708801, 0.5733445286750793, 0.13494539781591264
"12;8;3", 0.001, min_max,0.8065522909164429, 0.5234494209289551, 0.09594383775351015
"12;8;3", 0.001, zero_one,0.7831513285636902, 0.5609232783317566, 0.10374414976599064
"12;8;3", 0.0005, min_max,0.7730109095573425, 0.5698292255401611, 0.10218408736349453
"12;8;3", 0.0005, zero_one,0.9432989954948425, 0.19397281110286713, 0.0
