architecture,lr,normalization,accuracy,loss,classification_accuracy
"8;8;3", 0.01, min_max,0.7925117015838623, 0.5719472169876099, 0.12480499219968799
"8;8;3", 0.01, zero_one,0.7511700391769409, 0.73397296667099, 0.12714508580343215
"8;8;3", 0.005, min_max,0.80265212059021, 0.5379083752632141, 0.10764430577223089
"8;8;3", 0.005, zero_one,0.7917316555976868, 0.5625476241111755, 0.10842433697347893
"8;8;3", 0.002, min_max,0.7964118719100952, 0.5422906279563904, 0.0967238689547582
"8;8;3", 0.002, zero_one,0.7925117015838623, 0.5563795566558838, 0.11466458658346333
"8;8;3", 0.001, min_max,0.7893915772438049, 0.5577942728996277, 0.09282371294851795
"8;8;3", 0.001, zero_one,0.7652106285095215, 0.5888228416442871, 0.11388455538221529
"8;8;3", 0.0005, min_max,0.7800312042236328, 0.5714877247810364, 0.10530421216848673
"8;8;3", 0.0005, zero_one,0.7784711122512817, 0.608069658279419, 0.10686427457098284
"8;8;3", 0.0002, min_max,0.7566302418708801, 0.6590169072151184, 0.10686427457098284
"8;8;3", 0.0002, zero_one,0.777691125869751, 0.6060916185379028, 0.10920436817472699
"8;8;3", 0.0001, min_max,0.7340093851089478, 0.641805112361908, 0.14040561622464898
"8;8;3", 0.0001, zero_one,0.7589703798294067, 0.6044960021972656, 0.13416536661466458
"12;8;3", 0.01, min_max,0.7940717339515686, 0.5805371999740601, 0.1294851794071763
"12;8;3", 0.01, zero_one,0.7675507068634033, 0.5691331624984741, 0.12324492979719189
"12;8;3", 0.005, min_max,0.8213728666305542, 0.5439141988754272, 0.09126365054602184
"12;8;3", 0.005, zero_one,0.7948517799377441, 0.550258994102478, 0.08580343213728549
"12;8;3", 0.002, min_max,0.7932917475700378, 0.5654640793800354, 0.10998439937597504
"12;8;3", 0.002, zero_one,0.7893915772438049, 0.5558887720108032, 0.11622464898595944
"12;8;3", 0.001, min_max,0.7800312042236328, 0.5612102150917053, 0.11154446177847113
"12;8;3", 0.001, zero_one,0.797191858291626, 0.5593757629394531, 0.10218408736349453
"12;8;3", 0.0005, min_max,0.7878314852714539, 0.5657221674919128, 0.093603744149766
"12;8;3", 0.0005, zero_one,0.8003120422363281, 0.5432844758033752, 0.09750390015600624
"12;8;3", 0.0002, min_max,0.7667706608772278, 0.6064293384552002, 0.11076443057722309
"12;8;3", 0.0002, zero_one,0.7363494634628296, 0.6132538914680481, 0.12636505460218408
"12;8;3", 0.0001, min_max,0.7503899931907654, 0.6185831427574158, 0.12480499219968799
"12;8;3", 0.0001, zero_one,0.7870514988899231, 0.5663130283355713, 0.10218408736349453
"16;8;3", 0.01, min_max,0.7862714529037476, 0.5776684880256653, 0.12090483619344773
"16;8;3", 0.01, zero_one,0.7893915772438049, 0.574618935585022, 0.09126365054602184
"16;8;3", 0.005, min_max,0.797191858291626, 0.5487310290336609, 0.11232449297971919
"16;8;3", 0.005, zero_one,0.9309278130531311, 0.28338006138801575, 0.0
"16;8;3", 0.002, min_max,0.9412370920181274, 0.18076787889003754, 0.0
"16;8;3", 0.002, zero_one,0.9309278130531311, 0.2583642303943634, 0.0
"16;8;3", 0.001, min_max,0.9453608393669128, 0.1828945130109787, 0.0
"16;8;3", 0.001, zero_one,0.7808112502098083, 0.5776284337043762, 0.10842433697347893
"16;8;3", 0.0005, min_max,0.7917316555976868, 0.559709906578064, 0.09750390015600624
"16;8;3", 0.0005, zero_one,0.785491406917572, 0.5477833151817322, 0.11622464898595944
"16;8;3", 0.0002, min_max,0.7737909555435181, 0.5913918018341064, 0.11544461778471139
"16;8;3", 0.0002, zero_one,0.7979719042778015, 0.5344332456588745, 0.10374414976599064
"16;8;3", 0.0001, min_max,0.7597503662109375, 0.6034241914749146, 0.12168486739469579
"16;8;3", 0.0001, zero_one,0.7831513285636902, 0.579451858997345, 0.1060842433697348
"10;8;6;3", 0.01, min_max,0.7620905041694641, 0.5858630537986755, 0.10686427457098284
"10;8;6;3", 0.01, zero_one,0.7831513285636902, 0.558977484703064, 0.10842433697347893
"10;8;6;3", 0.005, min_max,0.8151326179504395, 0.5358222126960754, 0.08970358814352575
"10;8;6;3", 0.005, zero_one,0.772230863571167, 0.5840170383453369, 0.10842433697347893
"10;8;6;3", 0.002, min_max,0.7886115312576294, 0.5661512017250061, 0.11466458658346333
"10;8;6;3", 0.002, zero_one,0.7948517799377441, 0.5786084532737732, 0.10218408736349453
"10;8;6;3", 0.001, min_max,0.7964118719100952, 0.5388919115066528, 0.08346333853354135
"10;8;6;3", 0.001, zero_one,0.7870514988899231, 0.5483052134513855, 0.0998439937597504
"10;8;6;3", 0.0005, min_max,0.7948517799377441, 0.5644317865371704, 0.08970358814352575
"10;8;6;3", 0.0005, zero_one,0.7496100068092346, 0.6330731511116028, 0.13182527301092042
"10;8;6;3", 0.0002, min_max,0.7628704905509949, 0.6035696864128113, 0.12168486739469579
"10;8;6;3", 0.0002, zero_one,0.7761310338973999, 0.6037700772285461, 0.1060842433697348
"10;8;6;3", 0.0001, min_max,0.7519500851631165, 0.628882884979248, 0.1294851794071763
"10;8;6;3", 0.0001, zero_one,0.7761310338973999, 0.6026101112365723, 0.11856474258970359
"12;8;6;3", 0.01, min_max,0.7698907852172852, 0.5699113607406616, 0.10686427457098284
"12;8;6;3", 0.01, zero_one,0.7909516096115112, 0.5544699430465698, 0.11154446177847113
"12;8;6;3", 0.005, min_max,0.772230863571167, 0.5853078961372375, 0.10764430577223089
"12;8;6;3", 0.005, zero_one,0.8049921989440918, 0.5763776898384094, 0.0998439937597504
"12;8;6;3", 0.002, min_max,0.8003120422363281, 0.5530081391334534, 0.09204368174726989
"12;8;6;3", 0.002, zero_one,0.8174726963043213, 0.5347598791122437, 0.07878315132605304
"12;8;6;3", 0.001, min_max,0.7940717339515686, 0.5440142750740051, 0.10140405616224649
"12;8;6;3", 0.001, zero_one,0.785491406917572, 0.6058559417724609, 0.11388455538221529
"12;8;6;3", 0.0005, min_max,0.7909516096115112, 0.5586758255958557, 0.11232449297971919
"12;8;6;3", 0.0005, zero_one,0.7909516096115112, 0.5861032009124756, 0.10062402496099844
"12;8;6;3", 0.0002, min_max,0.7667706608772278, 0.5988122224807739, 0.11466458658346333
"12;8;6;3", 0.0002, zero_one,0.7706708312034607, 0.5994167327880859, 0.10842433697347893
"12;8;6;3", 0.0001, min_max,0.7519500851631165, 0.6346591711044312, 0.12792511700468018
