1677,2,1,9,10,down,left,"[{""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 10}]"
1678,2,1,8,10,left,left,"[{""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 10}, {""positionX"": 9, ""positionY"": 10}]"
1679,2,1,7,10,left,left,"[{""positionX"": 10, ""positionY"": 10}, {""positionX"": 9, ""positionY"": 10}, {""positionX"": 8, ""positionY"": 10}]"
1680,2,1,6,10,left,left,"[{""positionX"": 9, ""positionY"": 10}, {""positionX"": 8, ""positionY"": 10}, {""positionX"": 7, ""positionY"": 10}]"
1681,2,1,5,10,left,left,"[{""positionX"": 8, ""positionY"": 10}, {""positionX"": 7, ""positionY"": 10}, {""positionX"": 6, ""positionY"": 10}]"
1682,2,1,4,10,left,left,"[{""positionX"": 7, ""positionY"": 10}, {""positionX"": 6, ""positionY"": 10}, {""positionX"": 5, ""positionY"": 10}]"
1683,2,1,3,10,left,left,"[{""positionX"": 6, ""positionY"": 10}, {""positionX"": 5, ""positionY"": 10}, {""positionX"": 4, ""positionY"": 10}]"
1684,2,1,2,10,left,left,"[{""positionX"": 5, ""positionY"": 10}, {""positionX"": 4, ""positionY"": 10}, {""positionX"": 3, ""positionY"": 10}]"
1685,2,1,2,9,left,up,"[{""positionX"": 4, ""positionY"": 10}, {""positionX"": 3, ""positionY"": 10}, {""positionX"": 2, ""positionY"": 10}]"
1686,2,1,2,8,up,up,"[{""positionX"": 3, ""positionY"": 10}, {""positionX"": 2, ""positionY"": 10}, {""positionX"": 2, ""positionY"": 9}]"
1687,2,1,2,7,up,up,"[{""positionX"": 2, ""positionY"": 10}, {""positionX"": 2, ""positionY"": 9}, {""positionX"": 2, ""positionY"": 8}]"
1688,2,1,2,6,up,up,"[{""positionX"": 2, ""positionY"": 9}, {""positionX"": 2, ""positionY"": 8}, {""positionX"": 2, ""positionY"": 7}]"
1689,2,1,2,5,up,up,"[{""positionX"": 2, ""positionY"": 8}, {""positionX"": 2, ""positionY"": 7}, {""positionX"": 2, ""positionY"": 6}]"
1690,2,1,2,4,up,up,"[{""positionX"": 2, ""positionY"": 7}, {""positionX"": 2, ""positionY"": 6}, {""positionX"": 2, ""positionY"": 5}]"
1691,2,1,2,3,up,up,"[{""positionX"": 2, ""positionY"": 6}, {""positionX"": 2, ""positionY"": 5}, {""positionX"": 2, ""positionY"": 4}]"
1692,2,1,2,2,up,up,"[{""positionX"": 2, ""positionY"": 5}, {""positionX"": 2, ""positionY"": 4}, {""positionX"": 2, ""positionY"": 3}]"
1693,2,1,2,1,up,up,"[{""positionX"": 2, ""positionY"": 4}, {""positionX"": 2, ""positionY"": 3}, {""positionX"": 2, ""positionY"": 2}]"
1694,17,19,2,0,up,up,"[{""positionX"": 2, ""positionY"": 3}, {""positionX"": 2, ""positionY"": 2}, {""positionX"": 2, ""positionY"": 1}]"
1695,17,19,3,0,up,right,"[{""positionX"": 2, ""positionY"": 3}, {""positionX"": 2, ""positionY"": 2}, {""positionX"": 2, ""positionY"": 1}, {""positionX"": 2, ""positionY"": 0}]"
1696,17,19,4,0,right,right,"[{""positionX"": 2, ""positionY"": 2}, {""positionX"": 2, ""positionY"": 1}, {""positionX"": 2, ""positionY"": 0}, {""positionX"": 3, ""positionY"": 0}]"
1697,17,19,5,0,right,right,"[{""positionX"": 2, ""positionY"": 1}, {""positionX"": 2, ""positionY"": 0}, {""positionX"": 3, ""positionY"": 0}, {""positionX"": 4, ""positionY"": 0}]"
1698,17,19,6,0,right,right,"[{""positionX"": 2, ""positionY"": 0}, {""positionX"": 3, ""positionY"": 0}, {""positionX"": 4, ""positionY"": 0}, {""positionX"": 5, ""positionY"": 0}]"
1699,17,19,7,0,right,right,"[{""positionX"": 3, ""positionY"": 0}, {""positionX"": 4, ""positionY"": 0}, {""positionX"": 5, ""positionY"": 0}, {""positionX"": 6, ""positionY"": 0}]"
1700,17,19,8,0,right,right,"[{""positionX"": 4, ""positionY"": 0}, {""positionX"": 5, ""positionY"": 0}, {""positionX"": 6, ""positionY"": 0}, {""positionX"": 7, ""positionY"": 0}]"
1701,17,19,9,0,right,right,"[{""positionX"": 5, ""positionY"": 0}, {""positionX"": 6, ""positionY"": 0}, {""positionX"": 7, ""positionY"": 0}, {""positionX"": 8, ""positionY"": 0}]"
1702,17,19,10,0,right,right,"[{""positionX"": 6, ""positionY"": 0}, {""positionX"": 7, ""positionY"": 0}, {""positionX"": 8, ""positionY"": 0}, {""positionX"": 9, ""positionY"": 0}]"
1703,17,19,11,0,right,right,"[{""positionX"": 7, ""positionY"": 0}, {""positionX"": 8, ""positionY"": 0}, {""positionX"": 9, ""positionY"": 0}, {""positionX"": 10, ""positionY"": 0}]"
